reaction,base_reaction,data_type,ec_code,kcat_evidence_count,kcat,MW,kcat_MW,missing_mass_genes
4PCP,4PCP,global_default_no_ec,,0,65.0,32.3,7244582.043343654,
4SBZADH_num1,4SBZADH,EC_class_1_SABIO_median,1.2.1.62,0,17.825000000000003,43.81,1464734.0789774025,
5DGLCNR,5DGLCNR,EC_class_1_SABIO_median,1.1.1.69,0,17.825000000000003,26.365,2433908.5909349523,
5OP3TCCL,5OP3TCCL,global_default_no_ec,,0,65.0,28.503,8209662.140827281,
6ADOFUT,6ADOFUT,EC_kcat_max_BRENDA,3.5.4.40,1,8.6,37.06,835402.0507285482,
AACOATi,AACOATi,EC_kcat_max_BRENDA,6.2.1.16,1,8.16,71.309,411953.6103437154,
AAMYLe,AAMYLe,EC_kcat_max_BRENDA,3.2.1.1,1,40000.0,196.648,732272893.698385,
AATA_num1,AATA,EC_kcat_max_BRENDA,2.6.1.39,1,22.3,46.973,1709066.9107785323,
ABTA_num1,ABTA,SABIO_RK_cache_median,2.6.1.19,11,0.016,38.83,1483.3891321143446,
ABUTD_num1,ABUTD,SABIO_RK_cache_median,1.2.1.3,123,2.133333,53.275,144157.64992961052,
ACACT1r_num1,ACACT1r,SABIO_RK_cache_median,2.3.1.9,15,174.0,43.851,14284736.950126566,
ACACT2r_num1,ACACT2r,SABIO_RK_cache_median,2.3.1.16,1,104.0,43.851,8538003.694328522,
ACACT3r_num1,ACACT3r,SABIO_RK_cache_median,2.3.1.16,1,104.0,43.851,8538003.694328522,
ACACT4r_num1,ACACT4r,SABIO_RK_cache_median,2.3.1.16,1,104.0,43.851,8538003.694328522,
ACACT5r_num1,ACACT5r,SABIO_RK_cache_median,2.3.1.16,1,104.0,43.851,8538003.694328522,
ACACT6r_num1,ACACT6r,SABIO_RK_cache_median,2.3.1.16,1,104.0,43.851,8538003.694328522,
ACACT7r_num1,ACACT7r,SABIO_RK_cache_median,2.3.1.16,1,104.0,43.851,8538003.694328522,
ACACT8r_num1,ACACT8r,SABIO_RK_cache_median,2.3.1.16,1,104.0,43.851,8538003.694328522,
ACBIPGT,ACBIPGT,EC_kcat_max_BRENDA,2.7.7.62,1,4.7,65.159,259672.4934391258,
ACCOAC_1_num1,ACCOAC_1,SABIO_RK_cache_median,6.4.1.2,10,11.6,61.097,683503.2816668577,
